artist_name	track_name	release_date	genre	lyrics	topic
mgmt	little dark age	2018	rock	breathe dark lie ruin paint scar straighten want feel start wink time forgive stand gain know hide away strand horrify stone stage little dark pick card know nearby carve face hard engine fail limit disguise lyric commercial	dark
jelly roll	zombie (feat. madchild & insane clown posse)	2016	country	hear allow good time tell smile frown shoot time fly point turn level head oneway track tell road goal hold think okay date promise lose escape scary world cliché true gotta tryin edge seat constantly contain kinetic energy constantly reign sweet hum tune sleep watch peak stay good advice come come whoah yeah advice come come whoah yeah shout hand care stop hate replace eye focus place design peace refrain race kill race hear time take difference near gonna try fear real hide tear flow beat right advice come come whoah yeah advice come come whoah yeah	dark
cold war kids	love is mystical	2017	rock	heart break space lungs knees shake drink inspiration cause blood supernatural plan come meet live life need brake happen lean mistake mystical break chain feel invincible afraid light darkness power believe cause rational come come know stand come meet live life need brake happen lean mistake word true word reveal come alive think mystical break chain feel invincible afraid light darkness power believe hear future call heaven sake hell high water outta place feel skeptical eye mental state lift hand lower stake yeah lower stake yeah lower stake mystical feel irresistible call light darkness power believe power believe power believe power believe power believe believe believe	personal
vera lynn	besame mucho (kiss me)	2019	jazz	feel blue dream dream world lovely true faintly dream true wonderful world care long world turn faintly dream true wonderful world care long world turn know place peace mind know place peace mind	personal
laura fygi	like a star	2016	jazz	time maybe save light glow alright trust stairway heaven maybe climb little scar little scar like like change mind change mind change mind change mind change mind change mind like like lately lately thinkin bout perspective finger count bless bring cause electric angelic halo tilt look stairway heaven elevator shake block revolve plannin shine matter hop change mind cause need like word action charm magic girl write game things know pain tell little scar move change mind change mind change mind change mind change mind change mind like like baby better better maybe forever weather pull cloud promise like like yeah yeah like yeah change like like change mind change mind change mind change mind change mind like like change mind change mind change mind change mind change mind change mind like like	personal
larkin poe	fly like an eagle	2018	blues	instrumental live life nights live live hood little blood	personal
cody jinks	i'm not the devil	2016	country	devil think excuse slip fell outta hand devil think wasn hold head catch believe lie say moment weakness stumble devil think excuse slip fell outta hand devil think reason stay blame want time devil think excuse slip fell outta hand devil think spend forever prove devil think devil	dark
all them witches	internet	2017	blues	guess live internet time outsource lightning step lightly life months childhood turn eggshell wasn lookin askin thing live guess live internet wasn think pay attention feet start runnin keep time think nothin ask thing live guess live internet hate auger past live sit idle corner remove need fence remove need tool sense keepin somethin keepin askin thing live guess live internet	personal
adele	remedy	2016	pop	remember things think want desperate world finally breathe right eye heart come life easy mean story scar pain cut deep night keep sleep look remedy world cruel heart make feel like fool promise remedy river wide deep swim come shelter rain come truth pain cut deep night keep sleep look remedy world cruel heart make feel like fool promise remedy ohhh ohhh pain cut deep night keep sleep look world cruel heart make feel like fool promise remedy ohhh ohhh	sadness
a r i z o n a	oceans away	2017	pop	guard mess come high wear know need space wanna wanna mistake thousand ocean away sunrise like picture eye fall asleep tell alright tear roll wish feel face helpless oceans away felt room future come real learn fake smile time run wanna wanna mistake thousand ocean away sunrise like picture eye fall asleep tell alright tear roll wish feel face helpless oceans away wish feel face helpless oceans away helpless oceans away helpless oceans away wish feel face helpless oceans away	sadness
sleeping wolf	new kings	2017	rock	stand fight need mean second guessin yeah gonna wear crown cause stand fight stop kings ignore like pass raise voice scar scar power come ignore stand fight need lyric commercial	dark
ajr	karma	2019	rock	good helpful friendly good feel good good year good get harder good hell karma good good year ask days nights fill disappointment fine fine sure book today appointment good helpful friendly good feel good good year good get harder good hell karma lyric commercial	emotion
dirty heads	visions (featuring chloe chaidez of kitten)	2018	reggae	mind know want plan offer try help load little lighter share wealth good luck good luck know problems eye want live morning brother surprise good luck good luck yeah yeah yeah yeah yeah yeah yeah yeah yeah time go receive time want believe breathe good luck good luck good luck good luck	emotion
tedeschi trucks band	right on time	2016	blues	apologies night conscience wouldn sleep word keep follow miracle come undo complications week lack seek smile come alive share wine right time poor feet maybe asleep sorry home dignity defeat lack seek share time spin wheel mind share time spin wheel mind share time spin wheel mind share time spin wheel mind	lifestyle
car bomb	from the dust of this planet	2016	jazz	dark smile say warpath straight lonely side feel cold close reveal freeze piece earth hear hide sound close mouth secret truths say soundproof wall sing restore life dust planet sing stand sing ash ears home sing song sing restore life pull rust nail wall peel break nail	dark
phil wickham	your love awakens me	2016	rock	wall cross come break break chain longer bind longer bind call grave call light call heart come alive greater stronger awaken awaken awaken greater stronger awaken awaken awaken feel darkness shake dead come life life hear song awaken creation sing alive cause alive death hold shout alive cause alive	dark
tropidelic	leviathan	2017	reggae	cross bridge like leviathan travel coast tie whip post get high cross bridge like leviathan travel coast tie whip post get high yeah yeah river sink boat soft sound violin follow ghost deliver shadow hide river sink boat soft sound violin follow ghost deliver shadow hide cross bridge like leviathan travel coast tie whip post get high cross bridge like leviathan travel coast tie whip post get high yeah trust yeah thief night yeah lose touch yeah thief night beast rain river sink boat lose follow ghost deliver shadow hide river sink boat lose hard road felt invisible break silence trust power abstain thief night beast rain lose touch regain search truth excuse shame cross bridge like leviathan travel coast tie whip post get high cross bridge like leviathan travel coast tie whip post get high	dark
alborosie	lie	2018	reggae	beautiful thing sing uhlalala alborosie wooyaay praise woman need stay tell difficult tell come life empress wife child respect woman woman black woman number creation african jamaican galaan intimidation meditation devotion stick jahjah plan time leavin alborosie tear eye heart stay rest life feelin deep soul complete world promise baby everyday sexy girl life night rastaman doit right freaky things sadamite girl tieth liedertexte dutty bwoy away pride liedertext fool alle money rule delayla grind woman faithful want time leavin tear eye heart stay rest life feelin deep soul bring devotion complete world promise baby everyday woman care family provide everyday money support life accept seed affi stick togheter loose suckseed unity woman liedertexte feelin deep soul liedertext bring devotion complete world promise baby alle everyday	personal
imagine dragons	bullet in a gun	2018	rock	romulus precipice bear change final days appraise take name high stop bipolar time come promise pull trigger bullet time come like bullet blood sweat tear bullet bullet bullet lyric commercial	personal
sufjan stevens	mystery of love	2017	rock	eye time kiss boundless time cry build wall white noise awful sound fumble rogue river feel feet grind hand deliver woeohwoah time touch wonder cease bless mystery lyric commercial	dark
black sabbath	n.i.b.	2017	rock	yeah people true believe things think unreal moon star seal yeah follow regret leave life forever till time real lyric commercial	personal
blackalicious	paragraph president	2019	hip hop	paragraph paralyzer rhythmic aristocrat mister gift twist cap swift fist fast fury worry switch bits fragment midget quit diss track spit facts grass green purple diplomat rap math halfbreed rhymer mean breathe rhyme heathen kidnap mental black hijack head intellect mind state arrow blast center crack mind gap blind eye send cry pencil utensil grab thine attention jitsu stab offend send rappin tavern tell paragraph president official hear cheer come paragraph president want thank have perform paragraph president special treat even ask america foremost young poet read latest poem lyric commercial	dark
jamie n commons	walls	2018	blues	yeah knowwoahow hard time dear yeah knowwoahow long time dear time change hmmm right savior bid flame wall come fall wall come fall savior fight flame wall come fall wall come fall wall come fall wall come fall wall come fall wall come fall wall come fall hand understand savior bid flame wall come fall wall come fall savior fight flame wall come fall wall come fall wall come fall wall come fall wall come fall wall come fall wall come fall savior bid flame wall come fall wall come fall savior fight flame wall come fall wall come fall wall come fall wall come fall wall come fall wall come fall wall come fall	sadness
tash sultana	seed (intro)	2018	reggae	gotta plant seed watch grow secrets lock inside mind stories tell deepest devotion mistiest ocean lover come home cold game line hear wait feel fine step light cause go break time home follow follow follow follow soul follow soul cause gonna know right feel show home	dark
lester nowhere	6 a.m.	2017	jazz	walk stream take breath away move slowly westward water glacial plain walk walk think dream breathe deep inhale leave exhale oohhoo oohhoo oohhooooh oohhooooh oohhoo oohhoo oohhooooh oohhooooh hair forth think learn talk want walk walk think dream breathe deep inhale leave exhale oohhoo oohhoo oohhooooh oohhooooh oohhoo oohhoo oohhooooh oohhooooh oohhoo oohhoo oohhooooh oohhooooh oohhoo oohhoo oohhooooh oohhooooh	sadness
chelsea cutler	your shirt	2017	pop	time feel like want wrong say know good fall need hold close cause want heart hole leave cover grow cold wanna miss somebody miss city feel lonely leave room want tangle ease sheet shirt half asleep hold leave tangle noon shirt give half asleep wish half asleep wish time say play game fine say head cause know cause want heart hole leave cover grow cold wanna miss somebody miss city feel lonely leave room want tangle ease sheet shirt half asleep hold leave tangle noon shirt give half asleep wish half asleep wish	sadness
buddy guy	you did the crime	2018	blues	lie cheat girl excuse criminal behavior lose crime doin time spend rest life arm guilt heart gult soul joy life parole crime doin time spend rest life arm shame yeah shoot coldhearted lover degree away murder free crime doin time spend rest life arm hard pill swallow	personal
the black angels	half believing	2017	blues	things mean better watch come half believe half suspicious nervous awake think like spell useless awake think little things yeah pretty things lose mind steal thoughts time nervous awake think dangerous awake think like spell useless awake think fight things half believe half suspicious moment feel like lie half believe ohhhh dangerous awake think like spell useless awake yeah think feel hopeless awake yeah think feel useless feel hopeless awake yeah think awake yeah think awake yeah think awake yeah think	sadness
unspoken	reason	2019	rock	year felt like season winter think feel reach climb second guess time plan purpose child forget hunger heart soul reason believe feel like give feel like give reason believe pull curtain heaven hand lyric commercial	personal
casting crowns	oh my soul	2016	rock	soul worry weary fear lose control thing come blame cry private try hide away know stop believe soul place fear face know cause lyric commercial	sadness
the struts	kiss this	2016	rock	say stay home away say go good make stories keep secret take word truth go good kiss time cause go good misunderstand kiss time go good say sorry come home crawl  steal go good get second chance phone ignore go good kiss time cause go good misunderstand kiss time go good little kiss kiss kiss kiss time time kiss time cause go good misunderstand kiss time go good kiss kisskisskiss	emotion
anderson east	house is a building	2018	blues	cities gold hold promise ruin fountain youth illusion glass half till remember forget life lesson action pain weapon sorrow attraction heartbeat know house build home feel come force spring porch mean  thing sheet thread lonely stop remember forget life lesson action pain weapon sorrow attraction heartbeat know house build home feel whoooah stay calm light realise life lesson action pain weapon attraction heartbeat know house build home feel house build home feel	personal
damian marley	the struggle discontinues	2017	reggae	pray thee pray thee thou continue struggle live struggle continue overcome right struggle prosperity wanna sing song say struggle live wish wither away struggle struggle continue overcome right struggle prosperity wanna sing song say struggle live wish wither away struggle lead home struggle away start life feel vision send mean stand right struggle struggle struggle struggle continue overcome right struggle prosperity wanna sing song say wanna sing song struggle live wish wither away struggle imperial majesty gracious kind alleviate misery free shackle mind page history try rome build overnight struggle struggle struggle struggle continue overcome right struggle prosperity wanna sing song say wanna sing song struggle live wish wither away struggle struggle continue overcome right struggle prosperity wanna sing song say wanna sing song struggle live wish wither away struggle	lifestyle
logan mize	somebody to thank	2017	country	gotta thank small preacher makin hymn singer sunday mama gotta thank high school teacher believin dreamer steer road gotta thank granddaddy saturday lake hookin reelin gotta thank boys raise kinds hell couldn better best friends gotta thank earnhardt springsteen skywalker fill memory bank gotta thank beam anheuser friday night good time drink gotta thank mama daddy eighteen years gasin chevrolet tank matter everybody somebody thank gotta thank coon lick hand days feel gotta thank brother tour jungle safe home gotta thank door neighbor call number morning house catch gotta thank midwest farmer teenage summer hire gotta thank mellencamp montana fill memory bank gotta thank beam anheuser friday night good time drink gotta thank mama daddy eighteen years gasin chevrolet tank matter everybody somebody thank forget forget gotta thank gotta thank life night fill memory bank gotta thank beam anheuser friday night good time drink gotta thank mama daddy eighteen years gasin chevrolet tank matter everybody somebody thank	personal
moon taxi	two high	2018	rock	feel world spinnin control bring cold hide feel inside high walk hand tonight come fight woahooh high hard tell live hear voice call streets singin ready ready singin ready ready high walk hand tonight come fight woahooh high high go hold hold high walk hand tonight come fight high walk hand tonight come fight high high	dark
eric gales	whatcha gon' do	2018	blues	time wonder laugh sleep dust see culture fade tear leave stun hollow shame see see tribes modern kind brand work spirit join hearts hand ancestral twine ancestral twine tribes modern kind brand work spirit join hearts hand ancestral twine ancestral twine slowly fade slowly fade slowly fade slowly fade spirit creak groan know see see spirit creak groan know see see slowly fade slowly fade slowly fade slowly fade slowly fade soldier soldier good countrymen fight culture fight land know thousands years feel hurt know wrong feel chain break burn beautiful people wise souls grind long spineless greedy heartless deceive government hand take blood land take blood land dream warrior spirit live strong earth tree rock water blood breathe soldier soldier good countrymen fight children fight land slowly fade slowly fade slowly fade slowly fade time wonder laugh sleep dust see	sadness
xavier rudd	fly me high	2018	reggae	come eye smile shine days heart strong kindness face patiently take hand gently hold space like blossom silently radiate high butterfly gently high butterfly gently come hand tie know lick wound rebuild pride leave seed germinate need need rain locate trust time trust learn trust fate high butterfly gently high butterfly gently high butterfly gently high butterfly gently beneath canopy jungle face belly animals centipedes snake shipibo song fade road candle burn reach destination strength inside days answer lie deep inside natural mystic come	personal
hirie	melody of a broken heart	2016	reggae	dripdrop rain rooftop stop break heart break heart dripdrop rain rooftop stop break heart break heart need voice need hear second word know know breathe speak language speak say come home come home wanna breathe feel like drown know count wanna breathe feel like drown know count single soul feel presence wind anytime blow feel break feel breathe wanna speak language speak feel like give drown need surround wanna breathe feel like drown know count wanna breathe feel like drown know count dripdrop rain roof stop break heart break heart say dripdrop rain rooftop stop break heart break heart	sadness
the kills	black tar	2016	blues	invention handsome fairytales fair game world look sharpen blade london blood thirsty paris vein open vein pulse mean bruise wing sparrow gonna catch hair night arrow prick quick pick fight world trip bid blood catatonia york black run run bruise wing sparrow cook light tuck prim prim divine cool thing crazy look white screen field daisies pull stay stand stay stand	dark
black rebel motorcycle club	haunt	2018	blues	apart flame wear face rap like scarecrow wing unwind throw seamless wave write leave babe world play restless haunt change swallow brave like metal try melt away begin unthaw dead flag ship fool command try wither away wonder feel try unlove world place play hand cheat touch stay weep know eye close know eye close want stay reach light drown sound bury live thing deeper grind	sadness
pepper	the invite	2016	reggae	drive check engine light right plan think drive squander time lock inside mind talk dream afraid fail routine action happen wait talk knock kick door light alright whoa yeah welcome life live want live whoa yeah welcome life cause right life alive need begin stick indecision people lose look like risk reward tell jump train think  think action happen wait stop want kick  door roll dice alright whoa yeah welcome life live want live whoa yeah welcome life cause life life alive alive whoa yeah welcome life live want live whoa yeah welcome life cause life life whoa yeah welcome life live want live whoa yeah welcome life cause life cause life life alive	personal
mild high club	tesselation	2016	rock	daddy know hand pool head fool push weight hollywood gestalt hang edge fault learn trick uncle education sloganeer nascent vagabond motion picture babylon twist gestalt hang edge fault learn trick uncle revelation think paradigm rare design block tesselation	dark
radiohead	daydreaming	2016	rock	dreamers learn learn point return return late lyric commercial	personal
langhorne slim	sea of love	2016	country	know bear good shin feel build boat sail swear fail sail hand swim clothe watch wave water rise build boat sail swear fail sail hand know bear good shin feel build boat sail swear fail tear hand	dark
joe bonamassa	evil mama	2018	blues	mama sneakin black night mama turn twist knife mama trouble brew eye eye mama life lie greed nothin need think wanna waste time evil mama play jail game twice steal right pound door devil know exactly think wanna waste time evil mama chain cage lock think wanna waste time waste time evil mama evil mama evil mama yeah evil mama evil mama	dark
nahko and medicine for the people	directions	2016	reggae	north east south grandfather call need guidance grandmother call need guidance north east south grandfather call need guidance grandmother call need guidance north east south grandfather call need guidance grandmother call need guidance hoka north east south grandfather call need guidance grandmother call need guidance	lifestyle
talib kweli	ny weather report	2018	hip hop	come yeah like opportunity thank everybody rid long journey life path destination journey appreciate blood sweat tear years struggle hate fear york city come prepare rain hail sleet snow weather ride people place knowledge bear welcome check futuristic lyricist straight renaissance suffer chain rap edge people suffer slave chain voyage maiden like mother hell avenge capitalist product sell start spell word fell rhyme turn songs fell line paint picture people bleed bar teen mean reach star fail fell write cloud tighten vowel word bite allow gangsters grind allow probably fight stage fore fight crowd send people face homie rid inspire write lyric commercial	dark
kings of leon	walls	2016	rock	leave tryin right fight fight point waste space faceless crowd tell know right walk away wall come wall come wall come wall come seein fall lyric commercial	dark
ndidi o	rise up	2018	blues	mama say life hard grow days black girl scar come know know pain hold head high ashamed know forth know know pain black girl people poet thug victory slaughter mother daughter promise kiss brother look bless reason somebody hand get lock play prayer say diani protect amani bigger brother girlygirl imitate mother gemini stay friendly look like somebody friend die pretty black princess smell sweet like incense bookstore support black business teach black fact parent thorough read cornrows yarborough hair braid buy black mind free black zombie aisha kashera khadijah scar look mirror picture clearer stain frame black girl live black girl pain makeba mamacita good promisekeeper picture clearer stain frame black girl live black girl pain give birth tsidi azeeda lavender khayelitsha athlone plain swazi girls repping thee manenberg gugulethu bless beauty shin like highest noon cable table mountain girls skyest blue eye darkest skin cape colour realize african cousins home strength backbone length go raise sacrifice pain reflect range complexion rubber pellet scar auntie march fist raise caramel shin mauritius blood million stories ndidi auntie family burg complex mix girls survive worlds swear stand focus black girls raise hand world clap momma say days like	dark
aaron lewis	story of my life	2016	country	watch flame knowin blame vice kill pain knowin pain free starin wonder hand hold help life sinner ways days struggle lookin sign little purpose story life haunt word say prayin holy inside head probably safest place starin wonder hand hold help life sinner ways days struggle lookin sign little purpose story life story life darkness turn light show depth disguise safety naivety create deception lie starin wonder hand hold help life sinner ways days struggle lookin sign little purpose story life story life story life	personal
shenseea	love i got for u	2018	reggae	shenseea yeah bwoy ready ready unconditional ready ready unconditional bwoy waste time fool tell lie give heart woman walk thousand tire walk isles ring circus thing fall cause ready ready unconditional ready ready unconditional want everybody like satan cheat love delete conversation hard muss catch live hype life party night days night unconditional ready ready unconditional ready ready unconditional treatment like ready ready come ready bwoy ready ready unconditional ready ready unconditional	lifestyle
tesseract	luminary	2018	jazz	raise dead terribly troublesome eye maybe maybe lock inside prison head walk crowd lose sound invisible pass wake life time talk breathe reminisce scent single butcher cleave wolves devour consume surely bury tenderness solitary grave lock inside prison head walk crowd lose sound invisible pass invisible pass	dark
thomas rhett	remember you young	2019	country	buddies grow straightlaced marry foolin wasn long roof light darlin sippin wine classy kick couch smile shootin tequila shuttin college bar matter time go matter grow worse better forever remember young baby crawlin carpet little long away gonna stay innocent go cause matter time go matter grow worse better forever remember young whoaohoh whoaohoh whoaohoh yeah heaven look like kid shameless painless perfect ageless forgive wrong matter time go grow worse better forever remember young whoaohoh remember young	personal
lana del rey	lust for life (with the weeknd)	2017	pop	eye like pisces weak lock inside heartshaped weeks draw magnet trap wish cancer turn complaint forever debt priceless advice complaint forever debt priceless advice complaint forever debt priceless advice advice meateating orchids forgive hair baby breath break hymen highness leave black throw umbilical noose climb right complaint forever debt priceless advice complaint forever debt priceless advice complaint forever debt priceless advice advice eye like pisces weak lock inside heartshaped weeks draw magnet trap wish cancer turn black complaint forever debt priceless advice complaint forever debt priceless advice complaint forever debt priceless advice advice advice advice	dark
brett young	chapters	2018	country	chapter raise dodgers want like father little league coachin hangin word sundays lead teach know roll hangin word sound nice wish know perfect life hold time hold tight hopin turn lesson learn tryna right chapters life phase overwhelm attention everybody expectin perfection throw ball best thing hear things change blink eyelid guess body know say play worst thing hear sound rough wish know perfect life hold time hold tight hopin turn lesson learn tryna right chapters life chapters life truth stories gotta fail take time tryna right future past right hear laughin guess hear plan odes think joke give wish know perfect life hold time hold time hold tight hold tight hopin turn turn lesson learn tryna right chapters life chapters chapters life chapters life chapters yeah chapters life life chapters life mmmmmm	personal
kid frost	la raza	2018	hip hop	aqui estoy frost jefe maton boss cuete load balas face vatos cholos assassins send kill blood aztec warrior extreme hold barriers chicano proud guantes chingazos sabes right dirt matter afraid gonna hurt homeboys camaradas kick millaje chingon like capone controlo todos solo sweep lyric commercial	dark
melodiesinfonie	tokyo	2018	jazz	rody soulchyld kubyina dkvpz evil needle clivelowe start feat crate remix geotheory afro sunset fair beach horrevorts remix radical kingo sente toothless feat serine karthage alika dkvpz deixa envolvida cygn inside sivey waterbed slowmo evil needle paris feat vibez friday herzeloyde baribal flip good evil needle remix rakei bassline evil needle remix evil needle remix ntrltaste evil needle spirit walk grave oshi sell soul suiluj distress neguimbeats reason ellzo folktale teklun elevate feat gravez lege kale subtomik cobra evil needle euphoria evil needle krne long luxe feat cesqeaux evil needle sivey lovegate atlantic haze reload fzpz tokyo gravez warn wave dilip tibe ventilate maestro boyz crenshaw chromonicci finesse whereisalex double elephant losco evil needle sivey constructive interference rihanna pour evil needle radiance gerow mashup night ohoh belly sevnth remix frisco atlantic haze flosstradamus feat waka  flame troyboi remix evil needle hakunetsu melodiesinfonie melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled melodiesinfonie untitled	dark
yungblud	kill somebody	2018	rock	today feel irrelevant twist intelligence brain head like skeleton eye right feel like alien  dangerous cover evidence medicine life wanna kill somebody kill somebody kill somebody like wanna kill somebody kill somebody kill somebody like today turn cork screw file like suit lyric commercial	dark
audio two	make it funky	2017	hip hop	sameoldshawn kind music listen time start rap time audio start pop funky sample sample little deeper catalog people milk honest lover music listen especially days listen older music time listen junior huge think style come know okay junior song call signify monkey best songs google hear spotify motown listen original priority motown sample listen beastie boys rundmc like say start rap idol kool treacherous grandmaster cold crush brothers listen mixtapes battle mixtapes hear kool deebusy battle decide want rhyme inspire start rap	lifestyle
half•alive	the fall	2017	rock	word suppose simple star afraid face tryna introduce idea grow like share dream loud undo jump arm trust fall voice give feel safe trust fall like wake surgery right past light scar knife chest heart inside tryna introduce idea grow like share dream loud undo loud undo trust fall jump arm trust fall voice give feel safe jump arm trust fall voice give feel safe trust fall trust fall like share dream loud undo trust fall trust fall jump arm trust fall trust fall voice give feel safe feel safe jump arm trust fall voice give trust fall feel safe like share dream loud undo trust fall	sadness
black pistol fire	wake the riot	2016	blues	bite tongue shout lungs bore tear like track sell score force hand wicked command better white knuckle crimson crown catch trippin baby riot riot riot riot know baby bind break fight weak hand size little lie blame force hand wicked command better white knuckle crimson crown catch trippin baby riot riot riot know riot take share bore walk hand hand devil time throw roll tear waitin long waitin long baby riot	dark
yungblud	loner	2019	rock	friends desert want loner head sleep dead baby hype delude nanana quiet life force smile tire eye taste riot life cause martyr grow tomatoes young teeth doves self belief shoe look squeaky clean want leader stop cheater bounce people know bounce friends desert want loner nanana head sleep dead baby hype delude nanana lock riot lyric commercial	dark
crowder	all my hope	2017	rock	hold savior felt river prodigal return thank yesterday go sin forgive wash blood stranger prison wear shackle chain lyric commercial	personal
børns	sweet dreams	2018	rock	hearts cage hearts cage hearts cage flip slip away think things mean wish sweet dream think sweet team consider lullaby lyric commercial	sadness
imagine dragons	whatever it takes	2017	rock	fall fast prepare trip world dangerous everybody circle vulturous negative nepotist everybody wait fall everybody pray time everybody hop bear bear whip whip like race horse hold like cord break build wanna slip slip word letter break build take cause adrenaline vein take cause feel break chain take ready take lyric commercial	sadness
jamie n commons	heartbreak	2019	blues	wed sure probably tell ask friends invite send dress stand tent know take long dream heartbreak heartbreak arrow heartbreak heartbreak older know heartbreak heartbreak yeah try years try years waste years waste tear waste tear cause cry shoulder time ways fault know wait long dream heartbreak heartbreak arrow heartbreak heartbreak older know heartbreak heartbreak yeah try years try years whoa make stronger whoa think heartbreak heartbreak arrow heartbreak heartbreak older know heartbreak heartbreak yeah try years try years try years try years try years	personal
drake white	it feels good	2016	country	lay lady riverbank look lazy give wink say sense work dang toe water baby spot feel good good good feel right right right feel good good good gonna ride buy scratch ticket win kind sevens checkout line pack sack carton smoke dance like holy ghost feel good good good feel right right right feel good good good gonna ride weekend warriors party night long moonshine lovers get feel heart beat shake feet feel good good good feel right right right feel good good good gonna ride feel good good good feel right right right feel good good good gonna ride	emotion
welshly arms	sanctuary	2018	blues	darkness sleep hold close space need spark go glow bring home yeah bring home hurt feel pain dirt wash rain walk road felt shame place home time changin sanctuary shelter peace sanctuary safe sanctuary shelter peace sanctuary safe rain start toll slow cause know world turn cold need hold hold hold hurt feel pain dirt wash rain walk road felt shame place home time changin sanctuary shelter peace sanctuary safe sanctuary shelter peace sanctuary safe yeah yeah safe yeah yeah share hurt share pain dirt wash rain walk road felt shame time changin sanctuary hold sanctuary hold safe sanctuary shelter peace sanctuary safe sanctuary shelter peace sanctuary safe yeah yeah safe yeah yeah safe sanctuary safe hold cause sanctuary	sadness
high valley	i be u be	2016	country	soldier line courage heart fight outlaw bounty head shelter safe place rest weakness stayin strong sunrise night long darlin perfect life incomplete linger singer song singer song sinner salvation savin soul sailor ragin seas lighthouse guide weakness stayin strong sunrise night long darlin perfect life incomplete linger singer song singer song weakness stayin strong sunrise night long darlin perfect life incomplete linger singer song singer song	personal
switchfoot	i won't let you go	2017	rock	feel like surgery burn like degree wonder inside break feel ache wonder give birth pain past soul control guard learn trust swear doubt believe swear fear currency lyric commercial	sadness
phora	to the moon	2017	pop	moon wanna star send send orbit moon wanna star send send orbit yeah say scar blame need somebody hold like trophy want think girl shouldn scar fall yeah lift hold real know need know crave know fiend shape size curve thighs lips eye soul inside make feel feel real early mornings later nights sleep stay night fade die place breathe mean alive yeah say scar blame need somebody hold like trophy want think girl shouldn scar fall yeah away place leave tell stay tell wanna like die grow push away hold close baby heaven know break hearts break dream break trust break wing know hurt scar kiss follow dream moon star want world pain scar world true heart pure ready sure lonely baby cure fade die wanna drift away cause good goodbyes think yeah say scar blame need somebody hold like trophy want think girl shouldn scar fall	sadness
x ambassadors	hold you down	2019	rock	ones dance light hold hold ones dance faceless crowd hold hold hold talk speak loudly smile eye look cloudy leave break door wide open matter matter low highs highs low sure ones dance light hold hold ones dance faceless crowd hold hold hold hold oohooh oohooh hold oohooh hold party ride home head shoulder night rear view mirror right matter matter low highs highs low sure ones dance light hold hold ones dance faceless crowd hold hold hold hold oohooh oohooh hold oohooh hold hold oohooh anytime fall oohooh pick oohooh yeah hold ones dance light hold hold ones dance faceless crowd hold hold hold	emotion
the blue stones	rolling with the punches	2018	blues	long time long time wrestle dirt grind take borderlines douse head upstream brine twotone coat tell like songs write turn head surprise tongue green eye oooo best oooo money leave punch punch punch punch long time long time look eye tell missin deadlines demon dollar waste time fiery hole cleaners sword brimstone tell rest hungry dog weapon rule need help like need blood loss word weak cause want yeah punch punch punch punch punch punch	dark
kid bloom	different state of mind	2016	rock	sink right crimson cloud wait thing spin swim head mouth crack tongue hang like accordion star different state mind different state mind different state mind different state mind reason hold lyric commercial	dark
kina grannis	can't help falling in love	2018	pop	wise fool rush help fall shall stay help fall like river flow surely darling go things mean hand life help fall help fall	sadness
bishop briggs	white flag	2018	rock	shoot shoot grind grind play dead gotta wear paper promise break feed energy expect sympathy smoke go know afraid shed little blood smoke flare go flare go wave white flag time fight fight fight fight wave white flag slow fight fight fight fight whoa whoa whoa whoa lyric commercial	dark
moonchild	6am	2017	jazz	know heart like read start offer remedy sweeter spend save soon wait game soon listen see change refugin memories sweeter truth spend save soon wait game soon outro hold little longer hand stronger hold little longer	personal
pepper	bones	2016	reggae	say bonecrunching mayhem funk caroon tune call brother cause chili pepper spine ruffle feather piss spin disk night want radio play	lifestyle
diana krall	blue skies	2017	jazz	shin bright things go right notice days hurry blue sky smile blue sky bluebirds sing song bluebirds long shin bright things go right notice days hurry blue sky smile blue sky bluebirds sing song bluebirds long blue sky smile blue sky bluebirds sing song bluebirds long	lifestyle
breaking benjamin	the dark of you	2018	rock	inside head lose leave come pass sleep dream path lose game play weak fall return defeat fade away wicked world leave dark prayer wound heart dark come life live breathe lyric commercial	sadness
metallica	now that we're dead	2016	rock	darkness fall light reaper call walk straight right doubt return shall permeate scar seduce deviate cause sinners future saint past begin end return dead dear dead dear live forever pain know flame consume warm die bone loss madly fight kingdom come walk right open door sinners future saint past begin end return dead dear dead dear live forever sinners future saint past begin end return dead dear dead dear live live forever return ash shed skin black rise shall live forever	dark
danny black	high tide	2017	jazz	lift hire light fire steal delight go knight dawn start wisdom smart wholes part sing sing sing song long sing sing sing song admit wrong home belong sing sing give taste retreat knees defeat tower inspire steal manhood desire set end depend havenots friends sing sing sing song long sing sing sing song admit wrong home belong sadly free charge excite upend rerighted hook wire tread wear retire say stuff finally dawn sing sing	lifestyle
anders osborne	move back to mississippi	2016	blues	begin time half snail half elephant take galaxy fight begin snailephant terrorize nightmares world snailephant	personal
